"Размер","П/П/М","П/П/С","П/П/Д","П/Н/М","П/Н/С","П/Н/Д","П/У/М","П/У/С","П/У/Д","С/П/М","С/П/С","С/П/Д","С/Н/М","С/Н/С","С/Н/Д","С/У/М","С/У/С","С/У/Д","Д/П/М","Д/П/С","Д/П/Д","Д/Н/М","Д/Н/С","Д/Н/Д","Д/У/М","Д/У/С","Д/У/Д"
"175/60/15","4500","4050","3150","3150","2700","2250","2250","1800","1800","4050","3150","2250","3150","2700","1800","2250","1800","900","3150","2700","1800","2250","1800","1350","900","900","720"
"175/65/15","4500","4050","3150","3150","2700","2250","2250","1800","1800","4050","3150","2250","3150","2700","1800","2250","1800","900","3150","2700","1800","2250","1800","1350","900","900","720"
"185/55/15","4950","4500","3600","3600","3150","2700","2700","2250","2250","4500","3600","2700","3600","3150","2250","2700","2250","1350","3600","3150","2250","2700","2250","1800","1350","1080","720"
"185/60/15","4950","4500","3600","3600","3150","2700","2700","2250","2250","4500","3600","2700","3600","3150","2250","2700","2250","1350","3600","3150","2250","2700","2250","1800","1350","1080","720"
"185/65/15","4950","4500","3600","3600","3150","2700","2700","2250","2250","4500","3600","2700","3600","3150","2250","2700","2250","1350","3600","3150","2250","2700","2250","1800","1350","1080","720"
"195/50/15","4950","4500","3600","3600","3150","2700","2700","2250","2250","4500","3600","2700","3600","3150","2250","2700","2250","1350","3600","3150","2250","2700","2250","1800","1350","1080","720"
"195/55/15","5400","4950","4050","4050","3600","3150","3150","2700","2700","4950","4050","3150","4050","3600","2700","3150","2700","1800","4050","3600","2700","3150","2700","1800","1800","1350","900"
"195/60/15","4950","4500","3600","3600","3150","2700","2700","2250","2250","4500","3600","2700","3600","3150","2250","2700","2250","1350","3600","3150","2250","2700","2250","1800","1350","1080","720"
"195/65/15","4950","4500","3600","3600","3150","2700","2700","2250","2250","4500","3600","2700","3600","3150","2250","2700","2250","1350","3600","3150","2250","2700","2250","1800","1350","1080","720"
"195/70/15 С","6300","5400","4500","4500","4050","3600","3600","3150","3150","5400","4500","3600","4500","4050","2700","3600","3150","2250","4500","4050","3150","3600","3150","2250","2250","1440","900"
"205/60/15","4950","4500","3600","3600","3150","2700","2700","2250","2250","4500","3600","2700","3600","3150","2250","2700","2250","1350","3600","3150","2250","2700","2250","1800","1350","1080","720"
"205/65/15","5400","4950","4050","4050","3600","3150","3150","2700","2700","4950","4050","3150","4050","3600","2700","3150","2700","1800","4050","3600","2700","3150","2700","1800","1800","1350","900"
"205/70/15","6300","5400","4500","4500","4050","3600","3600","3150","3150","5400","4500","3600","4500","4050","2700","3600","3150","2250","4500","4050","3150","3600","3150","2250","2250","1440","900"
"205/70/15 C","7200","6750","5400","5850","4950","4050","4050","3600","3150","6750","5850","4050","5850","4500","3150","4050","3600","1800","4950","4050","3150","4050","3150","2700","2700","1800","900"
"215/65/15","6300","5400","4500","4500","4050","3600","3600","3150","3150","5400","4500","3600","4500","4050","2700","3600","3150","2250","4500","4050","3150","3600","3150","2250","2250","1440","900"
"215/70/15","6300","5400","4500","4500","4050","3600","3600","3150","3150","5400","4500","3600","4500","4050","2700","3600","3150","2250","4500","4050","3150","3600","3150","2250","2250","1440","900"
"215/70/15 С","6300","5400","4500","4500","4050","3600","3600","3150","3150","5400","4500","3600","4500","4050","2700","3600","3150","2250","4500","4050","3150","3600","3150","2250","2250","1440","900"
"225/70/15 С","6300","5400","4500","4500","4050","3600","3600","3150","3150","5400","4500","3600","4500","4050","2700","3600","3150","2250","4500","4050","3150","3600","3150","2250","2250","1440","900"
"235/75/15","6300","5400","4500","4500","4050","3600","3600","3150","3150","5400","4500","3600","4500","4050","2700","3600","3150","2250","4500","4050","3150","3600","3150","2250","2250","1440","900"
"265/70/15","6300","5400","4500","4500","4050","3600","3600","3150","3150","5400","4500","3600","4500","4050","2700","3600","3150","2250","4500","4050","3150","3600","3150","2250","2250","1440","900"
"195/45/16","7200","6750","5400","5850","4950","4050","4050","3600","3150","6750","5850","4050","5850","4500","3150","4050","3600","1800","4950","4050","3150","4050","3150","2700","2700","1800","900"
"195/55/16","6750","6300","4950","5400","4500","3600","3600","3150","3150","6300","5400","3600","5400","4050","2700","3600","3150","1440","4500","3600","2700","3600","3150","2250","2700","1440","900"
"205/45/16","7200","6750","5400","5850","4950","4050","4050","3600","3150","6750","5850","4050","5850","4500","3150","4050","3600","1800","4950","4050","3150","4050","3150","2700","2700","1800","900"
"205/50/16","7200","6750","5400","5850","4950","4050","4050","3600","3150","6750","5850","4050","5850","4500","3150","4050","3600","1800","4950","4050","3150","4050","3150","2700","2700","1800","900"
"205/55/16","6750","6300","4950","5400","4500","3600","3600","3150","3150","6300","5400","3600","5400","4050","2700","3600","3150","1440","4500","3600","2700","3600","3150","2250","2700","1440","900"
"205/60/16","6750","6300","4950","5400","4500","3600","3600","3150","3150","6300","5400","3600","5400","4050","2700","3600","3150","1440","4500","3600","2700","3600","3150","2250","2700","1440","900"
"205/65/16","6750","6300","4950","5400","4500","3600","3600","3150","3150","6300","5400","3600","5400","4050","2700","3600","3150","1440","4500","3600","2700","3600","3150","2250","2700","1440","900"
"205/65/16 C","7650","7200","5850","6300","5400","4500","4500","4050","3600","7200","5850","4500","5850","4950","3600","4500","4050","2250","5400","4500","3600","4500","3600","2700","3150","2250","1440"
"215/45/16","7200","6750","5400","5850","4950","4050","4050","3600","3150","6750","5850","4050","5850","4500","3150","4050","3600","1800","4950","4050","3150","4050","3150","2700","2700","1800","900"
"215/55/16","7200","6750","5400","5850","4950","4050","4050","3600","3150","6750","5850","4050","5850","4500","3150","4050","3600","1800","4950","4050","3150","4050","3150","2700","2700","1800","900"
"215/60/16","7200","6750","5400","5850","4950","4050","4050","3600","3150","6750","5850","4050","5850","4500","3150","4050","3600","1800","4950","4050","3150","4050","3150","2700","2700","1800","900"
"215/65/16","7200","6750","5400","5850","4950","4050","4050","3600","3150","6750","5850","4050","5850","4500","3150","4050","3600","1800","4950","4050","3150","4050","3150","2700","2700","1800","900"
"215/65/16 C","7650","7200","5850","6300","5400","4500","4500","4050","3600","7200","5850","4500","5850","4950","3600","4500","4050","2250","5400","4500","3600","4500","3600","2700","3150","2250","1440"
"215/70/16","7200","6750","5400","5850","4950","4050","4050","3600","3150","6750","5850","4050","5850","4500","3150","4050","3600","1800","4950","4050","3150","4050","3150","2700","2700","1800","900"
"225/55/16","7200","6750","5400","5850","4950","4050","4050","3600","3150","6750","5850","4050","5850","4500","3150","4050","3600","1800","4950","4050","3150","4050","3150","2700","2700","1800","900"
"225/60/16","5400","4950","4050","4050","3600","3150","3150","2700","2700","4950","4050","3150","4050","3600","2700","3150","2700","1800","4050","3600","2700","3150","2700","1800","1800","1350","900"
"225/70/16","7200","6750","5400","5850","4950","4050","4050","3600","3150","6750","5850","4050","5850","4500","3150","4050","3600","1800","4950","4050","3150","4050","3150","2700","2700","1800","900"
"225/75/16","7200","6750","5400","5850","4950","4050","4050","3600","3150","6750","5850","4050","5850","4500","3150","4050","3600","1800","4950","4050","3150","4050","3150","2700","2700","1800","900"
"235/60/16","7200","6750","5400","5850","4950","4050","4050","3600","3150","6750","5850","4050","5850","4500","3150","4050","3600","1800","4950","4050","3150","4050","3150","2700","2700","1800","900"
"235/65/16 C","7650","7200","5850","6300","5400","4500","4500","4050","3600","7200","5850","4500","5850","4950","3600","4500","4050","2250","5400","4500","3600","4500","3600","2700","3150","2250","1440"
"235/70/16","8100","7650","6300","6750","5850","4950","5400","4950","3600","7200","6300","4950","6300","5400","4500","5400","4500","2250","6300","5400","4500","4950","4050","3150","3600","2700","1800"
"235/75/16","8100","7650","6300","6750","5850","4950","5400","4950","3600","7200","6300","4950","6300","5400","4500","5400","4500","2250","6300","5400","4500","4950","4050","3150","3600","2700","1800"
"245/70/16","8100","7650","6300","6750","5850","4950","5400","4950","3600","7200","6300","4950","6300","5400","4500","5400","4500","2250","6300","5400","4500","4950","4050","3150","3600","2700","1800"
"245/75/16","8100","7650","6300","6750","5850","4950","5400","4950","3600","7200","6300","4950","6300","5400","4500","5400","4500","2250","6300","5400","4500","4950","4050","3150","3600","2700","1800"
"255/70/16","7200","6750","5400","5850","4950","4050","4050","3600","3150","6750","5850","4050","5850","4500","3150","4050","3600","1800","4950","4050","3150","4050","3150","2700","2700","1800","900"
"265/70/16","8100","7650","6300","6750","5850","4950","5400","4950","3600","7200","6300","4950","6300","5400","4500","5400","4500","2250","6300","5400","4500","4950","4050","3150","3600","2700","1800"
"265/75/16","8100","7650","6300","6750","5850","4950","5400","4950","3600","7200","6300","4950","6300","5400","4500","5400","4500","2250","6300","5400","4500","4950","4050","3150","3600","2700","1800"
"275/70/16","8100","7650","6300","6750","5850","4950","5400","4950","3600","7200","6300","4950","6300","5400","4500","5400","4500","2250","6300","5400","4500","4950","4050","3150","3600","2700","1800"
