"Размер","П/П/М","П/П/С","П/П/Д","П/Н/М","П/Н/С","П/Н/Д","П/У/М","П/У/С","П/У/Д","С/П/М","С/П/С","С/П/Д","С/Н/М","С/Н/С","С/Н/Д","С/У/М","С/У/С","С/У/Д","Д/П/М","Д/П/С","Д/П/Д","Д/Н/М","Д/Н/С","Д/Н/Д","Д/У/М","Д/У/С","Д/У/Д"
"175/60/15","5250","4725","3675","3675","3150","2625","2625","2100","2100","4725","3675","2625","3675","3150","2100","2625","2100","1050","3675","3150","2100","2625","2100","1575","1050","1050","840"
"175/65/15","5250","4725","3675","3675","3150","2625","2625","2100","2100","4725","3675","2625","3675","3150","2100","2625","2100","1050","3675","3150","2100","2625","2100","1575","1050","1050","840"
"185/55/15","5775","5250","4200","4200","3675","3150","3150","2625","2625","5250","4200","3150","4200","3675","2625","3150","2625","1575","4200","3675","2625","3150","2625","2100","1575","1260","840"
"185/60/15","5775","5250","4200","4200","3675","3150","3150","2625","2625","5250","4200","3150","4200","3675","2625","3150","2625","1575","4200","3675","2625","3150","2625","2100","1575","1260","840"
"185/65/15","5775","5250","4200","4200","3675","3150","3150","2625","2625","5250","4200","3150","4200","3675","2625","3150","2625","1575","4200","3675","2625","3150","2625","2100","1575","1260","840"
"195/50/15","5775","5250","4200","4200","3675","3150","3150","2625","2625","5250","4200","3150","4200","3675","2625","3150","2625","1575","4200","3675","2625","3150","2625","2100","1575","1260","840"
"195/55/15","6300","5775","4725","4725","4200","3675","3675","3150","3150","5775","4725","3675","4725","4200","3150","3675","3150","2100","4725","4200","3150","3675","3150","2100","2100","1575","1050"
"195/60/15","5775","5250","4200","4200","3675","3150","3150","2625","2625","5250","4200","3150","4200","3675","2625","3150","2625","1575","4200","3675","2625","3150","2625","2100","1575","1260","840"
"195/65/15","5775","5250","4200","4200","3675","3150","3150","2625","2625","5250","4200","3150","4200","3675","2625","3150","2625","1575","4200","3675","2625","3150","2625","2100","1575","1260","840"
"195/70/15 С","7350","6300","5250","5250","4725","4200","4200","3675","3675","6300","5250","4200","5250","4725","3150","4200","3675","2625","5250","4725","3675","4200","3675","2625","2625","1680","1050"
"205/60/15","5775","5250","4200","4200","3675","3150","3150","2625","2625","5250","4200","3150","4200","3675","2625","3150","2625","1575","4200","3675","2625","3150","2625","2100","1575","1260","840"
"205/65/15","6300","5775","4725","4725","4200","3675","3675","3150","3150","5775","4725","3675","4725","4200","3150","3675","3150","2100","4725","4200","3150","3675","3150","2100","2100","1575","1050"
"205/70/15","7350","6300","5250","5250","4725","4200","4200","3675","3675","6300","5250","4200","5250","4725","3150","4200","3675","2625","5250","4725","3675","4200","3675","2625","2625","1680","1050"
